parametri,Profitto Netto,totale
"{""perditaMassima"": 0.4000000000000001, ""vincitaMassima"": 2.500000000000001}",6104.399999999925,536
"{""perditaMassima"": 1.0000000000000002, ""vincitaMassima"": 2.1000000000000005}",6076.7999999999465,376
"{""perditaMassima"": 0.30000000000000004, ""vincitaMassima"": 2.3000000000000007}",6067.799999999916,555
"{""perditaMassima"": 0.5000000000000001, ""vincitaMassima"": 2.600000000000001}",6019.199999999958,514
"{""perditaMassima"": 0.30000000000000004, ""vincitaMassima"": 2.500000000000001}",6001.799999999858,545
"{""perditaMassima"": 0.30000000000000004, ""vincitaMassima"": 2.800000000000001}",5990.999999999905,526
"{""perditaMassima"": 1.7000000000000004, ""vincitaMassima"": 2.3000000000000007}",5989.200000000165,338
"{""perditaMassima"": 1.1000000000000003, ""vincitaMassima"": 2.000000000000001}",5979.000000000035,374
"{""perditaMassima"": 1.1000000000000003, ""vincitaMassima"": 2.1000000000000005}",5923.800000000001,368
"{""perditaMassima"": 1.2000000000000004, ""vincitaMassima"": 2.800000000000001}",5901.600000000144,335
"{""perditaMassima"": 1.8000000000000005, ""vincitaMassima"": 2.700000000000001}",5885.3999999998505,279
"{""perditaMassima"": 0.30000000000000004, ""vincitaMassima"": 2.1000000000000005}",5860.799999999837,562
"{""perditaMassima"": 1.7000000000000004, ""vincitaMassima"": 2.700000000000001}",5854.200000000009,292
"{""perditaMassima"": 0.4000000000000001, ""vincitaMassima"": 2.3000000000000007}",5843.399999999987,547
"{""perditaMassima"": 1.3000000000000003, ""vincitaMassima"": 2.600000000000001}",5840.999999999865,350
"{""perditaMassima"": 0.30000000000000004, ""vincitaMassima"": 2.200000000000001}",5829.599999999802,558
"{""perditaMassima"": 0.2, ""vincitaMassima"": 2.400000000000001}",5826.600000000122,561
"{""perditaMassima"": 0.5000000000000001, ""vincitaMassima"": 2.400000000000001}",5818.800000000007,516
"{""perditaMassima"": 0.30000000000000004, ""vincitaMassima"": 2.9000000000000012}",5817.599999999879,518
"{""perditaMassima"": 1.7000000000000004, ""vincitaMassima"": 2.400000000000001}",5809.200000000103,295
"{""perditaMassima"": 1.8000000000000005, ""vincitaMassima"": 1.7000000000000004}",5800.199999999812,338
"{""perditaMassima"": 2.000000000000001, ""vincitaMassima"": 2.3000000000000007}",5794.200000000074,312
"{""perditaMassima"": 1.4000000000000004, ""vincitaMassima"": 2.500000000000001}",5755.1999999999425,337
"{""perditaMassima"": 0.9000000000000001, ""vincitaMassima"": 2.600000000000001}",5731.799999999888,428
"{""perditaMassima"": 0.9000000000000001, ""vincitaMassima"": 2.3000000000000007}",5715.000000000001,427
"{""perditaMassima"": 0.30000000000000004, ""vincitaMassima"": 2.000000000000001}",5689.799999999867,566
"{""perditaMassima"": 0.2, ""vincitaMassima"": 2.1000000000000005}",5662.200000000081,569
"{""perditaMassima"": 0.2, ""vincitaMassima"": 2.000000000000001}",5659.8000000001,574
"{""perditaMassima"": 0.5000000000000001, ""vincitaMassima"": 2.3000000000000007}",5652.600000000051,528
"{""perditaMassima"": 1.1000000000000003, ""vincitaMassima"": 2.600000000000001}",5629.200000000015,399
"{""perditaMassima"": 0.2, ""vincitaMassima"": 2.3000000000000007}",5615.400000000153,565
"{""perditaMassima"": 0.6000000000000001, ""vincitaMassima"": 2.500000000000001}",5611.800000000053,460
"{""perditaMassima"": 1.4000000000000004, ""vincitaMassima"": 1.9000000000000006}",5610.599999999968,353
"{""perditaMassima"": 0.4000000000000001, ""vincitaMassima"": 2.1000000000000005}",5603.999999999898,554
"{""perditaMassima"": 1.0000000000000002, ""vincitaMassima"": 2.000000000000001}",5600.399999999972,372
"{""perditaMassima"": 0.4000000000000001, ""vincitaMassima"": 2.200000000000001}",5589.599999999862,551
"{""perditaMassima"": 0.2, ""vincitaMassima"": 2.600000000000001}",5560.800000000076,555
"{""perditaMassima"": 0.2, ""vincitaMassima"": 2.200000000000001}",5555.400000000048,567
"{""perditaMassima"": 0.6000000000000001, ""vincitaMassima"": 2.400000000000001}",5545.800000000076,465
"{""perditaMassima"": 1.9000000000000006, ""vincitaMassima"": 1.7000000000000004}",5535.599999999848,335
"{""perditaMassima"": 0.2, ""vincitaMassima"": 2.700000000000001}",5522.400000000048,548
"{""perditaMassima"": 0.2, ""vincitaMassima"": 2.500000000000001}",5478.000000000097,558
"{""perditaMassima"": 1.4000000000000004, ""vincitaMassima"": 2.700000000000001}",5447.399999999875,341
"{""perditaMassima"": 1.6000000000000003, ""vincitaMassima"": 2.700000000000001}",5437.799999999983,290
"{""perditaMassima"": 1.5000000000000004, ""vincitaMassima"": 2.700000000000001}",5424.599999999925,319
"{""perditaMassima"": 2.200000000000001, ""vincitaMassima"": 2.800000000000001}",5410.800000000095,208
"{""perditaMassima"": 1.5000000000000004, ""vincitaMassima"": 1.3000000000000003}",5349.600000000113,494
"{""perditaMassima"": 1.2000000000000004, ""vincitaMassima"": 1.8000000000000005}",5316.000000000142,368
"{""perditaMassima"": 0.2, ""vincitaMassima"": 2.800000000000001}",5309.40000000014,543
"{""perditaMassima"": 1.5000000000000004, ""vincitaMassima"": 2.500000000000001}",5303.399999999991,293
"{""perditaMassima"": 1.3000000000000003, ""vincitaMassima"": 1.3000000000000003}",5299.799999999983,514
"{""perditaMassima"": 2.000000000000001, ""vincitaMassima"": 2.800000000000001}",5264.40000000004,215
"{""perditaMassima"": 1.3000000000000003, ""vincitaMassima"": 2.800000000000001}",5252.399999999944,311
"{""perditaMassima"": 1.6000000000000003, ""vincitaMassima"": 2.600000000000001}",5251.800000000016,277
"{""perditaMassima"": 1.9000000000000006, ""vincitaMassima"": 2.3000000000000007}",5240.400000000022,319
"{""perditaMassima"": 0.8000000000000003, ""vincitaMassima"": 2.3000000000000007}",5218.79999999993,467
"{""perditaMassima"": 1.3000000000000003, ""vincitaMassima"": 2.500000000000001}",5182.1999999999025,337
"{""perditaMassima"": 1.0000000000000002, ""vincitaMassima"": 1.9000000000000006}",5157.600000000006,364
"{""perditaMassima"": 2.200000000000001, ""vincitaMassima"": 2.700000000000001}",5121.599999999995,264
